,country,cum_deaths
0,Brazil,28363.475558381288
1,Uzbekistan,12655.568137089636
2,Micronesia (Federated States of),58.43661724505401
3,Mauritius,77.00526315768575
4,Belarus,1589.1691298173319
5,Bahamas,36.00640080383074
6,Qatar,42.093524983862395
7,Norway,216.61340595250562
8,Congo,9946.131057825742
9,Nauru,3.1903307116201347
10,Lao People's Democratic Republic,11120.208574273445
11,Ecuador,3615.9169281675267
12,Solomon Islands,224.27633459348863
13,Republic of Moldova,1073.8326863662517
14,Tunisia,616.6402755786925
15,Cambodia,31803.043669450453
16,Cyprus,23.3548945923586
17,Egypt,4902.814286188744
18,Mozambique,107599.78386176273
19,Oman,100.83201561497219
20,Algeria,2305.7562009758058
21,Democratic Republic of the Congo,245416.41690224232
22,Italy,2077.790046593009
23,South Sudan,22654.78234091097
24,Sierra Leone,12970.687630949084
25,Tonga,24.18155927690718
26,Chad,35080.92014761877
27,Barbados,8.630342758795532
28,Bulgaria,625.5142676528397
29,Malaysia,9635.01971724666
30,Burkina Faso,37911.33578138297
31,Marshall Islands,38.89060821125554
32,Peru,10067.21720904513
33,Hungary,317.03827805923225
34,Estonia,126.77424885522046
35,China,197755.17629494244
36,Turkey,4459.738180665669
37,Suriname,51.31458818067439
38,Andorra,1.2914794682913429
39,Zambia,36882.9908308064
40,Sudan,6099.013538579573
41,Colombia,4617.026509297826
42,Sweden,388.2214206847102
43,Saudi Arabia,6808.676307122863
44,Guam,17.60663811246685
45,Paraguay,1251.8869919217507
46,Palau,4.02620479492781
47,Cuba,219.64403710605558
48,Somalia,96855.92856613682
49,Taiwan (Province of China),4340.95343720067
50,United States of America,4689.861223717891
51,Angola,61606.3518369823
52,Papua New Guinea,7640.2065340926765
53,France,5080.288533305482
54,Grenada,3.0007381430477102
55,Indonesia,402255.16049021756
56,Monaco,4.389953815811852
57,Japan,18464.733816814933
58,Lesotho,13859.178314725941
59,Costa Rica,226.61256584710392
60,Ghana,55786.97996179132
61,Switzerland,186.3328342392229
62,Turkmenistan,2317.158639723998
63,San Marino,1.0336355782899895
64,Iran (Islamic Republic of),4354.651438080751
65,Kazakhstan,3995.0773493572497
66,Viet Nam,98498.25488068846
67,Bangladesh,150538.55781829957
68,Benin,13687.615818927454
69,Lithuania,863.6575938671075
70,Antigua and Barbuda,1.8913098921826499
71,Uruguay,296.3461235576631
72,Dominica,14.28356800504412
73,Timor-Leste,1461.5095990663362
74,Puerto Rico,98.93243703640002
75,Bermuda,0.3875633865293244
76,Netherlands,477.3418789960642
77,Seychelles,19.34777050676698
78,Malta,5.844936521252858
79,Georgia,908.293032166006
80,Djibouti,2211.752786440919
81,Poland,2882.28919128976
82,Israel,121.58965514412185
83,Mauritania,2572.1328517849665
84,New Zealand,85.61823029563126
85,Slovakia,156.97135153719307
86,Mongolia,1894.1841592119918
87,Northern Mariana Islands,5.8336248518512255
88,Fiji,207.01903729119462
89,Canada,695.3451247416922
90,Philippines,150337.55156051888
91,Central African Republic,43145.767518599845
92,Saint Vincent and the Grenadines,13.402938998727462
93,Albania,55.416313684654014
94,Bosnia and Herzegovina,635.9218572525645
95,Cameroon,34978.268392250386
96,Kuwait,121.41813407586069
97,Palestine,126.32075885260103
98,Morocco,21106.274947340662
99,Belize,69.82046038048708
100,Cabo Verde,316.14145653535167
101,Trinidad and Tobago,99.16961467949977
102,Democratic People's Republic of Korea,16801.982870278553
103,Singapore,269.51904031920657
104,Tokelau,0.37979457986810994
105,Argentina,3712.8284515079267
106,Guyana,320.1553543776841
107,United States Virgin Islands,4.017407700690711
108,Liberia,5436.949620469371
109,Senegal,19532.019813385647
110,Panama,991.1043692460139
111,Iceland,6.4231726781893155
112,Rwanda,20154.670908455053
113,Greenland,15.177124106533345
114,Bolivia (Plurinational State of),8210.060313795853
115,Germany,2249.1637130605127
116,Uganda,72803.44631132518
117,Guinea,23745.72833506331
118,Eritrea,23804.821722124732
119,Syrian Arab Republic,407.6205038341262
120,Latvia,279.9157800461699
121,Honduras,2711.7913580996565
122,Togo,11086.715240761434
123,Austria,256.1571811470507
124,Samoa,67.69304652801446
125,Venezuela (Bolivarian Republic of),3817.1825764723108
126,Kenya,86203.12260008433
127,Ukraine,21506.796238301336
128,Portugal,1137.1222576608707
129,Libya,392.91879428717164
130,Jamaica,51.817986621197754
131,Republic of Korea,14984.24192322952
132,Bahrain,53.65913836686403
133,Niue,0.36584575814089126
134,Maldives,67.50803608050299
135,Ethiopia,158312.32227867367
136,Namibia,4346.115666183471
137,Nepal,39197.556537738965
138,C̫te d'Ivoire,38093.63648814831
139,Equatorial Guinea,985.8065653740618
140,Eswatini,3377.969820875502
141,Malawi,39719.91377527776
142,Denmark,133.1070503895101
143,Serbia,658.8229804775087
144,Cook Islands,1.6467112520345115
145,Kyrgyzstan,2142.04692137112
146,United Republic of Tanzania,105665.74330377838
147,Belgium,412.2670070367233
148,Nicaragua,725.1576555208037
149,Spain,1891.6014740450073
150,India,2183786.7916433574
151,Saint Lucia,21.31090489751154
152,Croatia,269.1681865071522
153,Romania,5027.496353767239
154,Yemen,4770.864458670039
155,Myanmar,77593.53045405773
156,Saint Kitts and Nevis,4.852171872009274
157,Sao Tome and Principe,103.62971698320305
158,Gabon,2512.0430377825514
159,South Africa,105023.90040557395
160,Tajikistan,3768.81091830047
161,Dominican Republic,3980.570285435413
162,Iraq,5021.0331669172465
163,United Arab Emirates,574.2234021322312
164,Czechia,272.9599023506043
165,Russian Federation,44626.7378971611
166,Vanuatu,205.0438153268835
167,Gambia,3639.6590577763336
168,Niger,29478.094839248522
169,Mali,28739.85189689628
170,Ireland,142.03240610314865
171,Sri Lanka,4568.9548603658695
172,American Samoa,3.4153763329580515
173,Madagascar,61965.52678270555
174,Slovenia,63.316444188045416
175,El Salvador,470.86027302057704
176,Zimbabwe,53984.83132708413
177,North Macedonia,188.63770092029188
178,Kiribati,355.2456493952928
179,Australia,443.5530849958667
180,Pakistan,330673.9482999633
181,Nigeria,241768.76632302167
182,Armenia,385.29150714721146
183,Luxembourg,8.511007392789034
184,Burundi,41794.225393695175
185,Lebanon,212.015143209742
186,Haiti,6592.0305303956175
187,Botswana,4177.049220166161
188,Jordan,133.6956794039169
189,Afghanistan,18827.110410361238
190,Mexico,12824.23229931564
191,United Kingdom,1926.1302907394625
192,Finland,263.5936776158684
193,Brunei Darussalam,92.82111748810325
194,Thailand,38285.11205598488
195,Bhutan,567.2123899765318
196,Azerbaijan,3248.478812795741
197,Comoros,1723.9600020435132
198,Chile,2239.920068717053
199,Tuvalu,5.764561017285851
200,Guinea-Bissau,3759.2554173988806
201,Guatemala,2116.2903051736703
202,Montenegro,22.439924760213938
203,Greece,655.1158831108895
